,COUNTRY,Private Credit (domestic),Trade Openness,Account Balance,Labels
1,Albania,34.0597809059347,79.4546360752224,-2.39554639266203,0
2,Algeria,19.0340776687974,40.1345741170703,-1.0224994485325,0
5,Angola,7.277022461899,50.8422305562091,6.24744044837087,0
7,Argentina,15.1176778381075,27.929760849367,0.893118418089374,0
10,Australia,129.317349644696,47.1453811065195,-1.97811216711747,0
11,Austria,81.7652651021229,108.825777834405,1.53088550116276,0
12,Azerbaijan,26.394691931299,82.6898691594703,6.2854774135843,0
15,Bangladesh,35.8111715787963,26.7780758040478,0.318705013196905,0
26,Brazil,75.6163785183391,35.5845239385389,-3.02715961462093,0
19,Belize,41.2775860732497,108.972446521476,-1.61270028881818,0
23,Bolivia,59.2427794669511,46.9778716148403,-2.56382553539757,0
24,Bosnia and Herzegovina,48.2673852259527,95.1562957108171,-3.47047618167401,0
25,Botswana,32.9279208188928,71.1052579052124,-4.23221726436584,0
46,Costa Rica,51.9611237199592,71.3310137687617,-1.30974019221641,0
40,Chile,103.388713916332,63.859857248066,-1.46933081175439,0
29,Bulgaria,47.067902488525,110.22631455921,-1.53604063336497,0
57,Ecuador,56.1805159157774,57.2031395531255,5.6617463022325,0
58,"Egypt, Arab Rep.",27.5692279729149,39.6007520873733,-5.72048144014404,0
59,El Salvador,62.4875657227945,84.6596461582312,-1.78863112269138,0
42,Colombia,39.5325760607283,37.0254687077888,-1.64274510323396,0
48,Croatia,46.8609410119769,104.912326073253,-1.12838479239856,0
56,Dominican Republic,31.920114353993,51.7835143952326,-3.35301311831687,0
88,Iceland,90.9015313312732,85.9671932681303,-2.60701511674342,0
90,Indonesia,36.3924507638113,42.572647301834,-0.624744460485029,0
85,Honduras,78.22344042274,91.1101585856976,-4.44681700505729,0
84,Haiti,4.11425205774259,22.2478853726107,-0.575392767938853,0
80,Guatemala,36.7834860946181,47.344196760267,2.88715534683158,0
76,Greece,48.5410004453358,89.7765279446168,-7.10950344070572,0
72,Georgia,68.0816024992946,103.456471449056,-5.2242656775693,0
68,France,107.58266062477,68.1081875443744,0.0851279883251641,0
67,Finland,92.0344393994847,83.4601015353507,-0.665363108803007,0
63,Eswatini,21.6231408755943,107.480621053879,1.6121572847945,0
127,Mexico,34.58590401101,74.5889079825143,-0.901772757867301,0
105,Kosovo,61.0018810149884,113.789651964133,-8.32777389320408,0
96,Italy,60.3701258499539,62.8237685119526,1.08253400174467,0
92,Iraq,13.9566761171787,70.7087434748943,2.99186896502489,0
134,Mozambique,17.5995711148942,95.659420351194,-10.9610583800383,0
99,Jordan,80.1570512555613,99.6794477365724,-5.8601178450158,0
100,Kazakhstan,27.2796795779653,57.1613431963924,-2.72248099369069,0
163,Samoa,69.9439291757097,79.5241461770504,5.58185835988125,0
156,Poland,33.5857900188097,100.359442847164,0.30454349270969,0
157,Portugal,77.2131206543744,89.696408854026,2.07776282936737,0
160,Romania,22.7281195412098,77.2149837939003,-8.15745555807555,0
155,Philippines,49.8136655061316,65.8854725286968,-3.95613177765573,0
202,Uganda,14.3001761811715,42.6527889088562,-7.96125021381889,0
205,United Kingdom,112.661832187589,62.8401605267118,-2.18793597246208,0
207,Uruguay,31.0792040544241,52.4649167856379,-0.781685795631197,0
208,Uzbekistan,33.1994355366732,60.7274403812997,-4.97044064284576,0
175,Solomon Islands,33.6805541133023,111.352972064455,-4.18133473457478,0
179,Spain,74.2192017963659,69.9502612382631,3.18327391138732,0
191,Tanzania,16.7547897044924,41.5131207208244,-3.01833493415327,0
198,Turkiye,43.0192369465191,54.5988061195916,-0.749968489565428,0
197,Tunisia,60.6117249735149,106.298549204247,-1.51035573976696,0
162,Rwanda,22.6097052141568,69.9544135680561,-12.6832284185648,0
168,Serbia,32.6365244902661,111.725028388916,-4.55603196572108,0
138,Nepal,92.1111096963721,40.5298226771909,3.91279159341445,0
149,Pakistan,11.4660816136427,27.5784683520695,0.133557216822667,0
153,Paraguay,57.4932782487158,76.8311565430624,-3.43605399756594,0
142,Nicaragua,29.7326694461408,98.5258377100159,4.1516146905653,0
193,Timor-Leste,34.793207276323,95.4485021286221,-31.4902137229965,1
129,Moldova,29.3318123812675,88.6661154286831,-16.5529874400431,1
132,Montenegro,45.2736633073804,109.944104480975,-16.9817285008945,1
213,West Bank and Gaza,68.5385081790127,81.3136801569531,-21.1437967691276,1
121,Maldives,35.6928394843112,156.473955741011,-18.6788603634035,1
54,Djibouti,23.1025276600186,241.237463098287,14.6941756648345,2
93,Ireland,23.7845375555383,246.169874857401,17.3995604849009,2
98,Japan,196.7972705315,46.4069516150859,4.82314808005734,3
41,China,194.165996844811,37.1984201388065,2.2616499482671,3
206,United States,200.882937069937,25.3786342507088,-4.12262463415284,3
104,"Korea, Rep.",160.347182678236,84.6424951192038,5.28119455498379,4
33,Cambodia,124.659765749466,143.447009703011,0.492098922813656,4
192,Thailand,147.97898667522,136.747107022451,2.20678307557943,4
187,Sweden,125.521881964807,105.883091480464,5.92462158549718,4
120,Malaysia,116.100930113506,137.362571161559,1.69342393177115,4
8,Armenia,64.3799433173924,150.064726588742,-4.60216691099963,5
28,Brunei Darussalam,37.7096482475039,132.587439642245,14.5341402117213,5
62,Estonia,60.5354220304166,151.037702410455,-1.25864024197608,5
52,Czechia,48.0283310281007,131.484981069952,1.74244358000018,5
87,Hungary,32.4386581915965,146.504561505902,1.58180029565553,5
18,Belgium,68.0983723586982,158.931826338067,-0.378788145846837,5
51,Cyprus,56.6577631532363,190.40287092076,-8.15906957648769,5
139,Netherlands,82.3320940898509,153.83065216636,9.12996820020418,5
116,Luxembourg,85.1436082593373,351.267921153192,4.39539454622425,5
123,Malta,61.9195849800298,218.170552427881,7.11978891680917,5
109,Latvia,29.5395677827529,132.262507895925,-1.57465157670388,5
115,Lithuania,35.9687269117612,143.04839086338,3.26568276980857,5
86,"Hong Kong SAR, China",231.037771669122,359.506710667464,12.9150749330683,5
126,Mauritius,69.8658565887007,145.421700301153,-7.02920844583031,5
174,Slovenia,35.4165073993057,155.657928684474,4.55086826535468,5
173,Slovak Republic,59.6509018833935,171.212800151635,-4.61427189349135,5
145,North Macedonia,53.9265036277025,136.324876175556,-2.10020379038667,5
53,Denmark,144.093102209921,131.765030975207,12.2782622922388,6
117,"Macao SAR, China",129.630265117215,142.07943455076,36.2912950353171,6
147,Norway,128.868380631512,81.3635091827243,14.8151795815579,6
